item_id,dept_id,current_inventory,reorder_point,recommended_order_qty,potential_stockout_loss,xai_reasoning
FOODS_1_001,FOODS_1,0,2.942453911966157,3,0.8173107996508675,"Order 3 units: Predicted demand is 0.4/day. With 2d lead time and 2.2 buffer, we need 2.9 total."
FOODS_1_001,FOODS_1,0,2.4929310126604474,2,0.6649673931408433,"Order 2 units: Predicted demand is 0.3/day. With 2d lead time and 1.9 buffer, we need 2.5 total."
FOODS_1_001,FOODS_1,0,1.868694468151378,2,0.6999084713141239,"Order 2 units: Predicted demand is 0.3/day. With 2d lead time and 1.2 buffer, we need 1.9 total."
FOODS_1_001,FOODS_1,0,2.95320910776072,3,0.4094748237774101,"Order 3 units: Predicted demand is 0.2/day. With 2d lead time and 2.6 buffer, we need 3.0 total."
FOODS_1_002,FOODS_1,0,2.270413951267065,2,2.425984971121285,"Order 2 units: Predicted demand is 0.3/day. With 2d lead time and 1.8 buffer, we need 2.3 total."
FOODS_1_002,FOODS_1,0,2.8519528424217278,3,3.5936871009408264,"Order 3 units: Predicted demand is 0.4/day. With 2d lead time and 2.1 buffer, we need 2.9 total."
FOODS_1_002,FOODS_1,0,0.0,0,0.0,Inventory sufficient: Current stock covers ROP.
FOODS_1_002,FOODS_1,0,0.0,0,0.0,Inventory sufficient: Current stock covers ROP.
FOODS_1_003,FOODS_1,0,1.2935475474663276,1,0.6692545729815906,"Order 1 units: Predicted demand is 0.2/day. With 2d lead time and 0.9 buffer, we need 1.3 total."
FOODS_1_003,FOODS_1,0,6.185877896113116,6,0.8250289928722868,"Order 6 units: Predicted demand is 0.3/day. With 2d lead time and 5.7 buffer, we need 6.2 total."
FOODS_1_003,FOODS_1,0,1.6687067146783214,2,0.8614792852780798,"Order 2 units: Predicted demand is 0.3/day. With 2d lead time and 1.1 buffer, we need 1.7 total."
FOODS_1_003,FOODS_1,0,1.5319493606792087,2,0.46536160783847635,"Order 2 units: Predicted demand is 0.1/day. With 2d lead time and 1.2 buffer, we need 1.5 total."
FOODS_1_004,FOODS_1,22,58.884986992456874,37,0.0,"Order 37 units: Predicted demand is 9.1/day. With 2d lead time and 40.7 buffer, we need 58.9 total."
FOODS_1_004,FOODS_1,1,15.813710405711147,15,4.097335376797179,"Order 15 units: Predicted demand is 3.1/day. With 2d lead time and 9.6 buffer, we need 15.8 total."
